,Question Entity,Answer
['കോമാളികളെ കുറിച്ചുള്ള സിനിമകൾ'],['കോമാളികൾ'],"[['കൊലയാളി ബഹിരാകാശത്ത് നിന്ന് വിമർശിക്കുന്നു', 'കോമാളിയെ കുലുക്കുന്നു']]"
['കാരി എൽവെസിന് വിവരിക്കാൻ കഴിയുന്ന സിനിമകൾ'],['കാരി എൽവെസ്'],"[['ഹെൽഗേറ്റ്', 'സോ', 'ജോർജിയ റൂൾ', 'ദി ക്രഷ്']]"
['ഏതൊക്കെ സിനിമകളെ സമൂഹത്തിന് വിശേഷിപ്പിക്കാം'],['സമൂഹം'],[['ബീജിംഗിൽ നഷ്ടപ്പെട്ടു']]
['സിഡ്‌നി ഫ്രാങ്ക്‌ളിൻ ഉപയോഗിച്ച് എന്ത് സിനിമകളെ വിവരിക്കാം'],['സിഡ്നി ഫ്രാങ്ക്ലിൻ'],"[['വിംപോൾ സ്ട്രീറ്റിലെ ബാരറ്റുകൾ', 'ഇരുണ്ട മാലാഖ', 'നല്ല ഭൂമി', ""പുഞ്ചിരി', 'സ്വകാര്യ ജീവിതങ്ങൾ']]"
['തോമസ് ഹാഡൻ ചർച്ചിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['തോമസ് ഹാഡൻ ചർച്ച്'],"[['സ്മാർട്ട് ആളുകൾ', 'സ്പൈഡർ-മാൻ 3', 'വശത്തേക്ക്']]"
['ഗില്ലെർമോ ഡെൽ ടോറോയെക്കുറിച്ചുള്ള സിനിമകൾ എന്തൊക്കെയാണ്'],['ഗില്ലെർമോ ഡെൽ ടോറോ'],"[['ബ്ലേഡ് ii', ""പിശാചിന്റെ നട്ടെല്ല്"", 'ഹെൽബോയ്', ""പാൻ ലാബിരിന്ത്"", 'മിമിക്', 'ക്രോണോസ്', ""ഇരുട്ടിനെ ഭയപ്പെടരുത്"", 'പസഫിക് റിം', 'അനാഥാലയം' ]]"
['ജിം മോറിസണെ കുറിച്ചുള്ള സിനിമകൾ'],['ജിം മോറിസൺ'],[['വാതിലുകൾ']]
['ജിമ്മി സ്മിറ്റ്സിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ജിമ്മി സ്മിറ്റ്സ്'],[['കുട്ടിയെ അനുഗ്രഹിക്കൂ']]
['ന്യൂസിലാൻഡിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ന്യൂസിലാന്റ്'],"[['പിയാനോ', 'സ്വർഗ്ഗീയ ജീവികൾ', 'മോശം', 'അവസാന സമുറായി', 'പിശാച് എന്നെ ധൈര്യപ്പെടുത്തി', 'ദുർബലരെ കണ്ടുമുട്ടുക', 'വീട്ടിൽ കയറിയത്', 'തിമിംഗല സവാരി', 'വീട്ടിലേക്ക് പറക്കുക ', 'ശാന്തമായ ഭൂമി', 'കറുത്ത ആടുകൾ', 'അനന്തമായ വേനൽ', 'നിഴലുകളിൽ നമ്മൾ എന്താണ് ചെയ്യുന്നത്', 'നദി രാജ്ഞി', 'എന്റെ മേശയിൽ ഒരു മാലാഖ', 'മറന്ന വെള്ളി', ""ലോകത്തിലെ ഏറ്റവും വേഗതയേറിയത് ഇന്ത്യൻ"", 'ഒരിക്കൽ യോദ്ധാക്കൾ', ""എന്റെ പിതാവിന്റെ ഗുഹയിൽ"", 'കുട്ടി']]"
['ഏത് സിനിമകളെ ബിൽ നൈജി കൊണ്ട് വിവരിക്കാം'],['ബിൽ അടുത്ത്'],"[['ഫ്ലഷ് എവേ', 'മികച്ച എക്സോട്ടിക് ജമന്തി ഹോട്ടൽ', 'ഐ ക്യാപ്ചർ ദ കാസിൽ', 'വാൽക്കറി', 'കഫേയിലെ പെൺകുട്ടി', 'വൈൽഡ് ടാർഗെറ്റ്', 'സമയത്തെക്കുറിച്ച്']]"
['രാമിൻ ബഹ്‌റാനിയെ കുറിച്ചുള്ള സിനിമകൾ'],['രാമിൻ ബഹ്‌റാനി'],"[['ചോപ്പ് ഷോപ്പ്', '99 ഹോംസ്', 'മാൻ പുഷ് കാർട്ട്', 'പ്ലാസ്റ്റിക് ബാഗ്', 'ഗുഡ്ബൈ സോളോ']]"
['ബാർബ്ര സ്ട്രീസാൻഡിനെക്കുറിച്ചുള്ള സിനിമകൾ ഏതൊക്കെയാണ്'],['ബാർബ്ര സ്ട്രീസാൻഡ്'],"[['തമാശയുള്ള പെൺകുട്ടി', 'കണ്ണാടിക്ക് രണ്ട് മുഖങ്ങളുണ്ട്', 'കുറ്റബോധം']]"
['ഡേവ് ബൗട്ടിസ്റ്റയ്ക്ക് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ഡേവ് ബൗട്ടിസ്റ്റ'],[['ഗാലക്സിയുടെ കാവൽക്കാർ']]
['ഏതൊക്കെ സിനിമകളെ ജാക്ക് റയാൻ വിവരിക്കാം'],['ജാക്ക് റയാൻ'],"[['ചുവന്ന ഒക്ടോബറിനായുള്ള വേട്ട', 'എല്ലാ ഭയങ്ങളുടെയും ആകെത്തുക', 'ദേശസ്നേഹ ഗെയിമുകൾ', 'വ്യക്തവും നിലവിലുള്ളതുമായ അപകടം']]"
['ഡെറെക് സിയാൻഫ്രാൻസിനൊപ്പം എന്ത് സിനിമകളെ വിവരിക്കാം'],['ഡെറെക് സിയാൻഫ്രാൻസ്'],"[['ബ്ലൂ വാലന്റൈൻ', 'പൈൻ മരങ്ങൾക്കപ്പുറമുള്ള സ്ഥലം']]"
['സോഷ്യൽ നെറ്റ്‌വർക്കിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['സോഷ്യൽ നെറ്റ്‌വർക്ക്'],[['സോഷ്യൽ നെറ്റ്‌വർക്ക്']]
['എമ്മ തോംസണിന് വിവരിക്കാൻ കഴിയുന്ന സിനിമകൾ'],['എമ്മ തോംസൺ'],"[['വീണ്ടും മരിച്ചു', 'പ്രാഥമിക നിറങ്ങൾ', 'അച്ഛന്റെ പേരിൽ', 'വിറ്റ്', 'മിസ്റ്റർ രക്ഷിക്കുന്നു. ബാങ്കുകൾ', 'ഹോവാർഡ്‌സ് എൻഡ്', 'ദ അവശിഷ്ടങ്ങൾ', 'ലാസ്റ്റ് ചാൻസ് ഹാർവി', 'സെൻസ് ആൻഡ് സെൻസിബിലിറ്റി', 'ഒന്നിനെപ്പറ്റിയും വളരെയധികം ആകുലതയുണ്ട്', 'ധീരൻ', 'ഹെൻറി വി', 'നാനി മക്ഫീ']]"
['ഇഗ്ഗി പോപ്പിനെ കുറിച്ചുള്ള സിനിമകൾ'],['ഇഗ്ഗി പോപ്പ്'],[['മരിച്ചവൻ']]
['ബ്രിട്ടീഷ് ന്യൂ വേവ് വിശേഷിപ്പിക്കുന്ന സിനിമകൾ'],['ബ്രിട്ടീഷ് ന്യൂ വേവ്'],"[['ബില്ലി നുണയൻ', 'ഒരുതരം സ്നേഹമുള്ളവൻ']]"
['വാൾ സ്ട്രീറ്റിൽ വിവരിക്കാൻ കഴിയുന്ന സിനിമകൾ'],['വാൾ സ്ട്രീറ്റ്'],"[['ദി വുൾഫ് ഓഫ് വാൾ സ്ട്രീറ്റ്', 'മാർജിൻ കോൾ']]"
['ജെയ്ൻ ഫോണ്ടയ്ക്ക് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ജെയ്ൻ ഫോണ്ട'],"[[""അവർ കുതിരകളെ വെടിവയ്ക്കുന്നു, അല്ലേ?"", 'വീട്ടിലേക്ക് വരുന്നു', 'മരിച്ചവരുടെ ആത്മാക്കൾ', 'കാറ്റ് ബലൂ', 'ജോർജിയ റൂൾ', 'ചൈന സിൻഡ്രോം', 'ബാർബറല്ല', 'ക്ലൂട്ട്', 'ആഗ്നസ് ഓഫ് ഗോഡ്', 'ജൂലിയ', 'മോൺസ്റ്റർ-ഇൻലർ', 'സ്വർണ്ണ കുളത്തിൽ']]"
['ഏതൊക്കെ സിനിമകളെ യാത്രയിലൂടെ വിവരിക്കാം'],['യാത്ര'],"[['വായുവിൽ', 'കാട്ടിലേക്ക്']]"
['ഷെഫുകൾക്ക് ഏതൊക്കെ സിനിമകളെ വിവരിക്കാം'],['ഷെഫുകൾ'],[['ratatouille']]
['ഡഡ്‌ലി മൂറിനെ കുറിച്ചുള്ള സിനിമകൾ'],['ഡഡ്‌ലി മൂർ'],"[['ഭ്രാന്തന്മാർ', 'അവിശ്വസ്തതയോടെ നിങ്ങളുടേത്', '10', 'ആർതർ']]"
['ഏതൊക്കെ സിനിമകളെ 1.5 കൊണ്ട് വിവരിക്കാം'],['1.5'],[['കുമ്പസാരം']]
['ഏത് സിനിമകളാണ് സെയ്‌ജുൻ സുസുക്കിയെക്കുറിച്ചുള്ളത്'],['സെയ്‌ജുൻ സുസുക്കി'],"[['കൊല്ലാൻ ബ്രാൻഡഡ്', 'ഒരു വേശ്യയുടെ കഥ', 'ടോക്കിയോ ഡ്രിഫ്റ്റർ', 'യൂത്ത് ഓഫ് ദി ബീസ്റ്റ്', 'മാംസത്തിന്റെ കവാടം']]"
['മാർക്ക് ഹെർമാൻ ഏതൊക്കെ സിനിമകളെ വിവരിക്കാം'],['മാർക്ക് ഹെർമൻ'],"[['ബ്രാസ്ഡ് ഓഫ്', 'ചെറിയ ശബ്ദം']]"
['ഫ്രാങ്ക്ലിൻ ജെയെക്കുറിച്ചുള്ള സിനിമകൾ എന്തൊക്കെയാണ്. ഷാഫ്നർ'],['ഫ്രാങ്ക്ലിൻ ജെ. ഷാഫ്നർ'],"[['പാപ്പില്ലൺ', 'കുരങ്ങുകളുടെ ഗ്രഹം', 'മികച്ച മനുഷ്യൻ', 'യുദ്ധ പ്രഭു', 'പാറ്റൺ', 'ബ്രസീലിൽ നിന്നുള്ള ആൺകുട്ടികൾ', 'നിക്കോളാസും അലക്‌സാന്ദ്രയും']]"
['ജെയിംസ് പോൺസോൾട്ടിനെക്കുറിച്ചുള്ള സിനിമകൾ എന്തൊക്കെയാണ്'],['ജെയിംസ് പോൺസോൾട്ട്'],"[['പര്യടനത്തിന്റെ അവസാനം', 'തകർത്തു', 'ഇപ്പോൾ ഗംഭീരം']]"
['ഏതൊക്കെ സിനിമകളാണ് മനോരോഗത്തെക്കുറിച്ചുള്ളത്'],['മനഃശാസ്ത്രം'],[['ഒരു ക്ലോക്ക് വർക്ക് ഓറഞ്ച്']]
['ഏത് സിനിമകളാണ് ഹെയ്തിയെക്കുറിച്ചുള്ളത്'],['ഹെയ്തി'],"[['തെക്കോട്ട്', 'സർപ്പവും മഴവില്ലും']]"
['ഷെൽഡൺ ലെറ്റിച്ച് ഉപയോഗിച്ച് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ഷെൽഡൻ ലെറ്റിച്ച്'],"[['സിംഹഹൃദയം', 'ശക്തൻ മാത്രം', 'ഇരട്ട ആഘാതം']]"
['ഗ്രാമത്തെ കുറിച്ചുള്ള സിനിമകൾ'],['ഗ്രാമം'],"[['നോയ് ദി ആൽബിനോ', 'ദ വില്ലേജ്']]"
['ഏത് സിനിമകളാണ് അസ്ഥികൂടത്തെക്കുറിച്ചുള്ളത്'],['അസ്ഥികൂടം'],[['പ്രപഞ്ചത്തിന്റെ യജമാനന്മാർ']]
['നതാലി വുഡ് ഉപയോഗിച്ച് എന്ത് സിനിമകളെ വിവരിക്കാം'],['നതാലി വുഡ്'],"[['പടിഞ്ഞാറ് ഭാഗത്തെ കഥ', 'പുല്ലിലെ മഹത്വം', '34-ാം തെരുവിലെ അത്ഭുതം']]"
['ഏത് സിനിമകളെ മരണശിക്ഷ കൊണ്ട് വിശേഷിപ്പിക്കാം'],['മരണനിര'],"[['ചത്ത മനുഷ്യൻ നടക്കുന്നു', 'പച്ച മൈൽ']]"
['മേസൺമാർക്ക് എന്ത് സിനിമകളെ വിവരിക്കാം'],['മേസൺസ്'],[['ദേശീയ നിധി']]
['മാർട്ടിൻ ഷീനിനൊപ്പം എന്ത് സിനിമകളെ വിവരിക്കാം'],['മാർട്ടിൻ ഷീൻ'],"[['അവസാന കൗണ്ട്ഡൗൺ', 'അത്ഭുതകരമായ സ്പൈഡർ മാൻ', 'വാൾ സ്ട്രീറ്റ്', 'അപ്പോക്കലിപ്‌സ് നൗ', 'അമേരിക്കൻ പ്രസിഡന്റ്', 'ഗെറ്റിസ്ബർഗ്', 'ദി വേ', 'വിശ്വാസികൾ', 'ബാഡ്‌ലാൻഡ്‌സ്', 'നിങ്ങൾക്ക് കഴിയുമെങ്കിൽ എന്നെ പിടിക്കൂ']]"
['ജൂതകുടുംബത്തെക്കുറിച്ചുള്ള സിനിമകൾ'],['ജൂത കുടുംബം'],[['ബെവർലി കുന്നുകളുടെ ചേരികൾ']]
['ഏതൊക്കെ സിനിമകളെ പരിസ്ഥിതി കൊണ്ട് വിവരിക്കാം'],['പരിസ്ഥിതി'],"[['ഭൂമി നിശ്ചലമായി നിന്ന ദിവസം', 'ഒരു സിവിൽ ആക്ഷൻ', 'നിശബ്ദ ഓട്ടം']]"
['ഏതൊക്കെ സിനിമകളാണ് ജയ് റോച്ചിനെക്കുറിച്ചുള്ളത്'],['ജയ് റോച്ച്'],"[['കാമ്പെയ്‌ൻ', 'റീകൗണ്ട്', 'ഡിന്നർ ഫോർ ഷ്മക്ക്സ്', 'ഓസ്റ്റിൻ പവർസ് ഇൻ ഗോൾഡ്‌മെമ്പർ', 'മീറ്റ് ദി ഫോക്കേഴ്‌സ്', 'മാതാപിതാക്കളെ കണ്ടുമുട്ടുക', 'ഗെയിം ചേഞ്ച്']]"
['തകാഷി മൈക്കെക്ക് എന്ത് സിനിമകളെ വിവരിക്കാം'],['തകാഷി മൈക്ക്'],"[['ഓഡിഷൻ', 'ഗോസു', 'സന്ദർശകൻ ക്യൂ', 'ഇസോ', 'മരിച്ചതോ ജീവിച്ചിരിക്കുന്നതോ', 'സുകിയാക്കി വെസ്റ്റേൺ ജാംഗോ', 'ബ്ലൂസ് ഹാർപ്', 'ബഹുമാനത്തിന്റെ ശ്മശാനം', 'നഷ്ടപ്പെട്ട ആത്മാക്കളുടെ നഗരം', 'സീബ്രമാൻ', 'റെയ്നി ഡോഗ്', 'ഇച്ചി ദി കില്ലർ', '13 കൊലയാളികൾ', 'ഏസ് അറ്റോർണി', 'കാക്കകൾ പൂജ്യം', 'കാടകുരികളുടെ സന്തോഷം', 'ചൈനയിലെ പക്ഷികൾ', 'ബിഗ് ബാംഗ് ലവ്' , ജുവനൈൽ എ', 'ദ ഗ്രേറ്റ് യോകായി യുദ്ധം']]"
['ഏത് സിനിമകളാണ് മിക്കിയോ നരുസിനെക്കുറിച്ചുള്ളത്'],['മികിയോ നരുസ്'],"[['പൊങ്ങിക്കിടക്കുന്ന മേഘങ്ങൾ', 'റീപാസ്റ്റ്', 'ഒരു സ്ത്രീ പടികൾ കയറുമ്പോൾ', 'പർവതത്തിന്റെ ശബ്ദം', 'വൈകിയുള്ള പൂച്ചെടികൾ', 'നിങ്ങൾ ഒഴികെ']]"
['ഒലിവിയ തിർൽബിയെ കുറിച്ചുള്ള സിനിമകൾ'],['ഒലിവിയ തിർൽബി'],"[['എന്താണ് ഉയരുന്നത്', 'ദി വാക്ക്നെസ്', 'ഡ്രെഡ്']]"
['മൈക്കൽ റാപ്പപോർട്ടിനൊപ്പം എന്ത് സിനിമകളെ വിവരിക്കാം'],['മൈക്കൽ റാപ്പപോർട്ട്'],[['ഒന്നിനും പണം']]
['മോട്ടലിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['മോട്ടൽ'],[['സൈക്കോ']]
['ഷാവോലിൻ കൊണ്ട് വിവരിക്കാൻ കഴിയുന്ന സിനിമകൾ'],['ഷാവോലിൻ'],"[['ഷാവോലിൻ ആയോധനകല', 'ഷാവോലിൻ ക്ഷേത്രം']]"
['ഏതൊക്കെ സിനിമകളെ ആക്ഷേപഹാസ്യം കൊണ്ട് വിവരിക്കാം?'],['ആക്ഷേപഹാസ്യം?'],"[['ജ്വലിക്കുന്ന സാഡിൽസ്', 'നെറ്റ്‌വർക്ക്']]"
['ക്രിസ് മോറിസിന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ക്രിസ് മോറിസ്'],[['നാല് സിംഹങ്ങൾ']]
['എഡ് ഹെൽമുകളെ കുറിച്ചുള്ള സിനിമകൾ'],['ed helms'],"[['ഹാംഗ് ഓവർ', ""ഞങ്ങൾ മില്ലർമാർ"", 'ഹാംഗ് ഓവർ ഭാഗം ii']]"
['ദീപ മേത്തയെ കുറിച്ചുള്ള സിനിമകൾ'],['ദീപ മേത്ത'],"[['വെള്ളം', 'ഭൂമി', 'തീ']]"
['ഏതൊക്കെ സിനിമകളാണ് ആകർഷകമായത്'],['മനോഹരമായ'],[['വിദ്യാഭ്യാസം']]
['ഏത് സിനിമകളാണ് മൈക്ക് ബൈൻഡറിനെക്കുറിച്ചുള്ളത്'],['മൈക്ക് ബൈൻഡർ'],"[['എന്റെ മേൽ ഭരിക്കുക', 'കോപത്തിന്റെ വശം', 'ശൂന്യൻ']]"
['ഏതൊക്കെ സിനിമകളാണ് നായികയെക്കുറിച്ചുള്ളത്'],['ഹെറോയിൻ'],"[[""യേശുവിന്റെ മകൻ"", 'ബാസ്കറ്റ്ബോൾ ഡയറികൾ', 'ട്രെയിൻസ്‌പോട്ടിംഗ്']]"
['റീസ് വിതർസ്പൂൺ ഉപയോഗിച്ച് എന്ത് സിനിമകളെ വിവരിക്കാം'],['റീസ് വിതർസ്പൂൺ'],"[['തിരഞ്ഞെടുപ്പ്', 'ഇത് അർത്ഥമാക്കുന്നത് യുദ്ധം', 'പ്ലസന്റ്‌വിൽ', 'സ്വീറ്റ് ഹോം അലബാമ', 'മോൺസ്റ്റേഴ്‌സ് വേഴ്സസ്. ഏലിയൻസ്', 'വാക്ക് ദി ലൈൻ', 'സന്ധ്യ', 'നിങ്ങൾക്ക് എങ്ങനെ അറിയാം', 'ചിത്രീകരണം', 'നാല് ക്രിസ്മസ്', 'ഫ്രീവേ', 'അമേരിക്കൻ സൈക്കോ', 'ആനകൾക്കുള്ള വെള്ളം', 'ഭയം', 'ക്രൂരമായ ഉദ്ദേശ്യങ്ങൾ', 'ചന്ദ്രനിലെ മനുഷ്യൻ', 'നിയമപരമായി സുന്ദരി']]"
['ചാർളി ചാപ്ലിനെ കുറിച്ചുള്ള സിനിമകൾ'],['ചാർളി ചാപ്ലിൻ'],"[['വെളിച്ചം', 'ചാപ്ലിൻ', 'സിറ്റി ലൈറ്റുകൾ', 'ഗോൾഡ് റഷ്', 'കുട്ടി', 'ആധുനിക കാലം']]"
['ഏതൊക്കെ സിനിമകളാണ് റഷ്യൻ ഭാഷയെക്കുറിച്ചുള്ളത്'],['റഷ്യൻ'],"[['കള്ളൻ', 'ഡേ വാച്ച്', 'സൈബീരിയയിലെ ക്ഷുരകൻ', 'പർവതങ്ങളുടെ തടവുകാരൻ', 'ഒരു ക്രൂരമായ പ്രണയം', 'ആന്ദ്രേ റൂബ്ലെവ്', 'സൂര്യൻ കത്തിച്ചു', 'കക്കൂ', ' രാത്രി കാവൽ, 'വന്ന് കാണൂ', 'പാരീസിലേക്കുള്ള ജാലകം', 'സഡ്കോ', 'യുദ്ധമില്ലാത്ത ഇരുപത് ദിവസം', 'ഡോക്ടർ ഷിവാഗോ', 'സോളാരിസ്', 'സ്റ്റോക്കർ', 'ലെവിയതൻ', 'കിഴക്കൻ വാഗ്ദാനങ്ങൾ', ' കണ്ണാടി']]"
['സ്‌റ്റീവ് കെയറിനെ കുറിച്ചുള്ള സിനിമകൾ'],['സ്റ്റീവ് കെയർ'],"[['ഫോക്‌സ്‌കാച്ചർ', 'ഇവാൻ ആൽമൈറ്റി', 'ഗെറ്റ് സ്‌മാർട്ട്', 'ഡേറ്റ് നൈറ്റ്', 'ലിറ്റിൽ മിസ് സൺഷൈൻ', 'ഡിന്നർ ഫോർ ഷ്മക്കുകൾ', 'ഡെസ്പിക്കബിൾ മി 2', 'ഓവർ ദി ഹെഡ്‌ജ്', 'യഥാർത്ഥ ജീവിതത്തിൽ ഡാൻ ', 'പ്രതീക്ഷ നീരുറവകൾ', 'അവിശ്വസനീയമായ ബർട്ട് വണ്ടർസ്റ്റോൺ', 'ദി വേ വേ ബാക്ക്', 'ഹോർട്ടൺ ഹിയേഴ്‌സ് എ ഹൂ!', 'നിന്ദ്യനായ എന്നെ', '40 വയസ്സുള്ള കന്യക', 'ചുരുണ്ട കേസ്', ' ലോകാവസാനത്തിനായി ഒരു സുഹൃത്തിനെ തേടുന്നു']]"
['ഏതൊക്കെ സിനിമകളെ കെർമിറ്റ് കൊണ്ട് വിവരിക്കാം'],['കെർമിറ്റ്'],[['മപ്പറ്റ് സിനിമ']]
['ഏതൊക്കെ സിനിമകളെ ഹിച്ച്‌ഹൈക്കറിന് വിവരിക്കാം'],['ഹിച്ച്ഹൈക്കർ'],"[[""ഗാലക്സിയിലേക്കുള്ള ഹിച്ച്ഹൈക്കറുടെ വഴികാട്ടി""]]"
['ഏതൊക്കെ സിനിമകളാണ് മാധ്യമങ്ങളെക്കുറിച്ചുള്ളത്'],['മാധ്യമം'],"[['മിസ് റെപ്രെസന്റേഷൻ', 'സ്വാഭാവികമായി ജനിച്ച കൊലയാളികൾ', 'ട്രൂമാൻ ഷോ']]"
